rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,12156928,10.445616436004638,7.147436032,1.546515703201294,4.695082588316698
16,32,24313856,10.544945844014485,6.473865216,1.5700445175170898,4.80686217858129
64,128,97255424,11.058783559004466,8.808403456,1.6803193092346191,5.367269516253253
